Name,Arp,RA,Dec,Diam
,0525-511,81.7139,-51.2441,2.2
,0525-454,81.7906,-45.7827,2.2
,0531-362,83.3075,-36.4015,2.9
,0532-640,83.0914,-64.113,4.0
,0533-505,83.7618,-50.944,2.6
,0534-320,84.0718,-31.9868,4.5
,0535-262,84.3278,-26.4279,4.9
,0538-295,85.0604,-29.8732,4.0
,0539-225,85.5105,-22.9486,2.2
,0541-255,85.7847,-25.9383,3.6
,0541-300,85.813,-30.0802,3.8
,0545-643,86.4459,-64.6326,3.4
,0545-513,86.7737,-51.5536,4.0
,0546-472,87.0339,-47.4064,2.7
,0548-393,87.565,-39.5555,3.1
,0548-463,87.5337,-46.6172,2.5
,0549-510,87.788,-51.0468,2.9
,0551-342,88.275,-34.3938,4.5
,0552-350,88.6821,-35.1408,2.4
,0553-394,88.7047,-39.7677,2.7
,0554-514,88.7966,-51.6868,3.1
,0554-234,89.1176,-23.8228,4.3
,0554-235,89.1342,-23.8445,4.3
,0555-612,88.9329,-61.4561,2.6
,0555-612,88.9755,-61.4097,2.6
,0555-372,89.2979,-37.4789,2.9
,0555-231,89.4713,-23.1811,2.9
,0556-425,89.5239,-42.8534,3.4
,0556-232,89.7204,-23.339,2.2
,0557-522,89.753,-52.4781,2.6
,0558-522,89.9623,-52.4041,3.1
,0559-385,90.3526,-38.999,4.5
,0600-583,90.297,-58.5943,4.5
,0600-395,90.5407,-39.9466,2.7
,0603-332,91.2486,-33.4083,3.4
,0605-492,91.7398,-49.4943,4.3
,0606-472,91.942,-47.4153,4.3
,0608-340,92.5397,-34.1012,3.4
,0608-513,92.4355,-51.5928,4.9
,0608-631,92.3062,-63.216,2.1
,0610-443,92.9159,-44.6499,3.6
,0612-425,93.5161,-42.8561,4.5
,0614-264,94.0005,-26.7665,2.3
,0615-481,94.2204,-48.3197,3.8
,0616-324,94.5075,-32.8124,3.3
,0616-350,94.6076,-35.1546,2.7
,0616-484,94.5533,-48.7513,3.1
,0616-485,94.5553,-48.9397,2.2
,0618-223,95.117,-22.5752,3.7
,0619-271,95.4187,-27.2367,3.1
,0620-363,95.4893,-36.5556,2.9
,0622-224,96.149,-22.8385,4.0
,0622-625,95.7395,-62.9659,2.7
,0622-625,95.8136,-63.008,2.7
,0624-631,96.2565,-63.3284,4.5
,0624-344,96.6189,-34.8377,2.2
,0625-355,96.8563,-36.0172,2.8
,0626-610,96.7296,-61.1956,2.6
,0629-693,97.2237,-69.7003,2.1
,0633-391,98.9116,-39.2571,2.7
,0634-350,99.1893,-35.0717,4.0
,0635-372,99.3554,-37.4209,4.5
,0637-365,99.7678,-36.9195,2.7
,0639-582,100.1766,-58.5187,2.8
,0642-275,101.0668,-27.9006,3.6
,0643-365,101.3724,-37.0072,2.7
,0644-665,101.0639,-67.0101,2.7
,0645-430,101.6853,-43.1238,2.2
,0646-235,102.2653,-23.9946,3.1
,0654-365,103.9917,-36.9379,2.7
,0655-522,104.2472,-52.5178,4.3
,0656-704,103.9601,-70.7475,2.2
,0658-590,104.7698,-59.1289,3.1
,0702-665,105.69,-66.9769,2.2
,0709-380,107.7026,-38.222,2.2
,0716-621,109.1562,-62.336,4.9
,0726-453,111.8969,-45.6847,2.2
,0736-692,114.091,-69.5254,4.5
,0736-334,114.696,-33.8386,4.5
,0739-835,113.1173,-84.0733,4.0
,0742-651,115.679,-65.3205,4.5
,0742-252,116.2674,-25.5004,4.5
,0750-490,117.9429,-49.238,4.5
,0753-233,118.7922,-23.638,3.2
,0754-521,118.9673,-52.3042,2.4
,0755-585,119.2097,-59.1271,4.0
,0803-701,120.8817,-70.3663,2.9
,0804-272,121.5545,-27.523,4.5
,0811-342,123.2676,-34.5818,2.2
,0815-271,124.2752,-27.4558,3.4
,0815-295,124.4323,-30.1314,2.3
,0818-501,124.907,-50.3369,2.2
,0833-315,128.9044,-32.1472,2.1
,0839-745,129.6712,-75.1547,3.4
,0849-841,130.9952,-84.5054,4.0
,0851-351,133.2627,-35.4749,2.6
,0854-242,134.2531,-24.675,4.0
,0854-243,134.2778,-24.7484,4.0
,0855-674,134.0963,-67.8735,4.3
,0857-685,134.3767,-69.0612,3.6
,0857-663,134.5555,-66.7367,3.6
,0858-335,135.0783,-34.0763,2.5
,0902-680,135.6592,-68.2289,3.1
,0906-753,136.6069,-75.8109,2.5
,0910-235,138.0779,-24.1746,3.4
,0911-314,138.4255,-31.8941,2.2
,0912-280,138.7668,-28.2635,4.3
,0913-690,138.4317,-69.3398,3.1
,0913-252,138.8696,-25.5672,2.6
,0921-252,140.9438,-25.6354,3.7
,0922-633,140.8503,-63.8139,2.8
,0923-335,141.3268,-34.1033,2.2
,0926-355,142.0903,-36.1672,4.9
,0928-331,142.6201,-33.5205,2.9
,0931-324,143.3406,-33.0359,2.2
,0936-305,144.7391,-31.1299,2.7
,0937-304,145.0068,-31.0423,4.0
,0943-300,146.3751,-30.3444,2.9
,0944-301,146.5794,-30.435,4.3
,0945-304,146.9159,-30.9526,4.9
,0945-484,146.8486,-48.9708,4.5
,0947-323,147.3559,-32.8404,2.7
,0947-323,147.5061,-32.8858,3.0
,0948-283,147.7088,-28.7446,4.0
,0949-323,147.8116,-32.7549,2.2
,0950-291,148.0823,-29.4373,3.1
,0952-334,148.6425,-34.0254,4.6
,0952-340,148.7377,-34.249,4.6
,0952-325,148.7878,-33.1374,3.7
,0953-373,149.025,-37.7731,2.2
,0955-323,149.4573,-32.8375,3.2
,0955-323,149.5031,-32.8676,3.2
,0956-300,149.7669,-30.2499,2.3
,0957-223,149.8733,-22.8268,2.2
,0957-280,149.8984,-28.3369,2.2
,0957-311,150.0132,-31.5538,2.2
,0958-310,150.1312,-31.2491,2.2
,0959-545,150.3719,-55.1132,2.7
,1001-363,150.8513,-36.7875,3.2
,1001-362,150.8641,-36.7259,3.2
,1001-264,150.9255,-27.026,2.7
,1001-272,150.9656,-27.5828,3.6
,1002-310,151.0581,-31.3663,4.9
,1002-411,151.1006,-41.4148,2.6
,1005-260,151.8334,-26.4015,4.7
,1005-345,151.977,-35.2285,3.2
,1010-342,153.153,-34.7295,2.5
,1011-354,153.3286,-35.9832,3.7
,1014-483,154.2304,-48.8836,4.5
,1017-733,154.5122,-73.8311,4.9
,1017-262,154.8892,-26.6982,2.9
,1022-261,156.2049,-26.5825,4.0
,1025-433,156.9684,-43.9057,3.6
,1026-312,157.2238,-31.6112,3.1
,1026-442,157.2544,-44.658,2.9
,1027-435,157.3065,-44.1281,3.1
,1027-350,157.4979,-35.3267,4.5
,1029-455,157.7966,-46.254,2.3
,1029-294,157.8589,-29.9524,3.6
,1029-343,157.9673,-34.8543,3.1
,1033-365,159.0435,-37.2362,2.2
,1035-264,159.4444,-27.0819,2.2
,1038-360,160.0825,-36.4097,4.3
,1038-481,160.0781,-48.5714,2.5
,1039-230,160.3581,-23.3817,3.1
,1040-281,160.6819,-28.4773,4.5
,1044-241,161.8299,-24.4358,2.5
,1045-245,162.0958,-25.1628,3.8
,1055-391,164.466,-39.4379,3.4
,1100-224,165.8403,-23.0896,3.4
,1104-224,166.8341,-23.0108,2.6
,1105-700,166.8145,-70.4209,2.9
,1105-461,166.9608,-46.5226,4.0
,1105-412,167.0381,-41.7294,2.2
,1106-280,167.2443,-28.3712,2.9
,1110-262,168.32,-26.7574,4.5
,1111-685,168.2935,-69.2641,3.4
,1111-474,168.4735,-47.9492,2.4
,1112-272,168.8117,-27.6579,2.2
,1121-344,171.0845,-35.0149,2.4
,1122-262,171.3063,-26.74,4.0
,1124-340,171.6914,-34.3653,2.6
,1130-332,173.197,-33.648,3.6
,1134-323,174.2844,-32.8286,3.1
,1142-501,176.2334,-50.5344,4.9
,1143-501,176.3716,-50.5928,4.9
,1143-280,176.4263,-28.3661,2.2
,1144-273,176.698,-27.9229,2.2
,1146-332,177.3728,-33.6414,4.0
,1147-321,177.3983,-32.5931,2.2
,1148-750,177.6035,-75.3732,3.4
,1150-321,178.2844,-32.5683,4.5
,1150-322,178.3303,-32.6533,4.5
,1151-535,178.428,-54.1133,3.7
,1151-225,178.4952,-23.1683,2.2
,1151-535,178.5706,-54.1617,3.7
,1154-320,179.1621,-32.3884,3.1
,1154-321,179.1913,-32.4501,3.1
,1154-375,179.1905,-38.1967,2.7
,1200-221,180.6997,-22.5501,2.2
,1201-291,181.051,-29.5668,2.2
,1203-223,181.5306,-22.85,4.5
,1203-275,181.6065,-28.1734,4.0
,1204-280,181.6775,-28.3317,4.0
,1204-272,181.7693,-27.6967,3.1
,1204-395,181.7883,-40.2084,2.5
,1204-294,181.8031,-30.025,2.1
,1205-460,182.0201,-46.2933,3.1
,1208-334,182.6608,-34.0582,3.8
,1212-375,183.854,-38.1413,4.9
,1213-374,184.0548,-38.0929,4.9
,1213-430,184.1079,-43.3129,4.5
,1214-371,184.2385,-37.4645,3.1
,1215-421,184.5845,-42.5227,3.0
,1220-335,185.725,-34.1889,4.0
,1229-512,187.9748,-51.7477,2.5
,1232-363,188.7419,-36.8638,2.2
,1238-404,190.2236,-40.976,2.9
,1238-254,190.2639,-25.9593,3.4
,1245-255,191.918,-26.1994,2.7
,1245-215,191.9927,-22.2677,3.6
,1247-245,192.422,-25.1589,2.7
,1248-275,192.8938,-28.2451,3.1
,1248-254,192.8951,-26.0951,2.2
,1248-255,192.9035,-26.1201,2.2
,1249-254,192.9369,-26.0917,2.2
,1250-234,193.2433,-24.0514,3.1
,1253-262,193.9276,-26.739,3.6
,1253-252,194.0766,-25.7605,3.6
,1254-463,194.2367,-46.897,4.5
,1255-241,194.4213,-24.4801,3.1
,1255-235,194.4251,-24.1867,2.2
,1255-503,194.5618,-50.8883,2.2
,1256-433,194.7109,-43.8748,2.2
,1256-433,194.7443,-43.8381,2.2
,1257-450,195.1248,-45.3859,2.7
,1259-323,195.5249,-32.7854,2.7
,1259-493,195.5853,-49.862,4.3
,1259-322,195.5583,-32.762,3.6
,1301-282,196.0943,-28.713,2.7
,1303-292,196.5181,-29.7541,2.2
,1303-371,196.5334,-37.5841,2.9
,1305-223,196.9365,-22.8568,2.2
,1305-280,196.9876,-28.3518,3.6
,1305-280,197.0544,-28.2967,3.6
,1306-474,197.4183,-47.9562,4.0
,1307-425,197.5007,-43.2111,2.7
,1307-461,197.5183,-46.4361,2.7
,1307-464,197.6414,-46.9926,2.2
,1308-233,197.6897,-23.8658,4.0
,1310-322,198.2244,-32.6867,2.7
,1310-362,198.3086,-36.7182,2.5
,1310-484,198.4606,-49.0147,2.5
,1312-222,198.9235,-22.7356,2.7
,1314-370,199.3593,-37.2666,2.6
,1315-365,199.6812,-37.2244,4.8
,1316-463,199.9606,-46.829,3.6
,1316-444,199.9798,-45.0773,4.7
,1317-470,199.9957,-47.2806,2.2
,1317-233,199.9483,-23.804,2.5
,1317-270,199.9597,-27.4073,2.7
,1317-354,200.0628,-36.0405,3.1
,1318-772,200.6135,-77.7466,2.9
,1318-353,200.3841,-35.7999,4.5
,1318-454,200.4306,-45.9416,2.9
,1321-360,201.1755,-36.2969,3.1
,1322-300,201.2819,-30.3434,2.9
,1322-372,201.409,-37.6049,2.2
,1323-365,201.4791,-37.2348,4.5
,1323-271,201.6847,-27.441,3.4
,1324-294,201.7534,-30.0742,2.2
,1324-375,201.8664,-38.1874,2.2
,1324-250,201.8472,-25.3924,3.6
,1324-411,201.9057,-41.484,4.7
,1326-340,202.3489,-34.2665,2.7
,1328-343,202.8602,-34.7939,2.9
,1328-325,202.9563,-33.2404,3.4
,1329-231,203.1665,-23.5116,2.2
,1330-421,203.4446,-42.5595,4.0
,1331-311,203.4949,-31.4877,4.5
,1332-300,203.9515,-30.3885,3.4
,1333-334,204.166,-33.9648,2.7
,1336-393,204.9662,-39.8549,2.7
,1337-312,204.9743,-31.6448,4.5
,1338-293,205.3998,-29.9106,2.2
,1342-413,206.2491,-41.8572,4.0
,1344-323,206.8706,-32.8642,2.9
,1346-354,207.328,-36.0649,4.0
,1348-372,207.8434,-37.6254,2.2
,1349-273,208.0881,-27.8915,2.8
,1349-300,208.1871,-30.3046,3.7
,1351-261,208.6438,-26.5585,3.8
,1352-280,208.7325,-28.3417,3.4
,1354-243,209.2985,-24.8237,4.0
,1355-241,209.6524,-24.4678,3.6
,1358-221,210.2814,-22.5596,3.4
,1358-324,210.3433,-33.0629,3.6
,1358-221,210.3524,-22.5728,3.4
,1358-253,210.3827,-25.8111,2.5
,1400-221,210.8407,-22.5533,3.0
,1400-314,210.962,-31.948,2.2
,1403-340,211.6472,-34.3097,2.9
,1403-322,211.6493,-32.5746,2.2
,1404-261,211.8213,-26.5508,4.3
,1404-261,211.9173,-26.5606,4.3
,1404-245,211.9212,-25.1172,2.9
,1405-330,212.0113,-33.3187,4.0
,1407-282,212.6381,-28.6138,2.9
,1408-292,212.8546,-29.6499,2.7
,1408-295,212.8815,-30.1781,4.9
,1411-275,213.4927,-28.1965,3.6
,1411-291,213.652,-29.5594,2.7
,1411-434,213.7753,-43.9625,3.4
,1412-475,213.9742,-48.117,2.2
,1414-235,214.4103,-24.184,4.9
,1415-530,214.6546,-53.3686,2.2
,1416-262,214.8444,-26.6445,2.2
,1419-263,215.5257,-26.8593,3.1
,1427-340,217.5631,-34.2335,2.9
,1428-220,217.8559,-22.3676,2.5
,1430-333,218.3381,-33.7662,4.5
,1432-383,218.8422,-38.8697,3.8
,1435-220,219.6128,-22.3656,3.0
,1436-440,220.0301,-44.3162,2.7
,1437-253,220.047,-25.7726,4.5
,1442-233,221.2373,-23.7939,2.2
,1444-220,221.8663,-22.3702,3.0
,1452-380,223.8956,-38.2753,2.7
,1505-523,227.1739,-52.8426,3.3
,1514-362,229.4379,-36.5842,2.9
,1516-410,229.8296,-41.2312,2.2
,1521-682,231.5279,-68.6172,3.9
,1531-664,234.121,-66.8588,2.8
,1541-780,237.1177,-78.2114,4.5
,1546-284,237.3317,-28.9069,2.2
,1546-394,237.5191,-39.9129,4.2
,1549-270,238.2495,-27.2898,4.2
,1555-661,240.0537,-66.3682,3.3
,1555-661,240.0782,-66.3448,3.3
,1556-263,239.7734,-26.7068,3.1
,1601-413,241.1858,-41.6894,3.6
,1606-285,242.3683,-29.0041,3.4
,1612-283,243.9938,-28.7321,2.1
,1613-822,245.8803,-82.5411,2.5
,1648-590,253.182,-59.2164,3.4
,1705-773,258.2828,-77.5694,4.0
,1715-784,260.8616,-78.7157,4.0
,1718-645,260.9125,-65.0169,3.4
,1724-622,262.2849,-62.4385,2.8
,1733-595,264.4064,-59.9449,3.1
,1745-593,267.5972,-59.5611,2.7
,1759-593,271.0908,-59.6208,2.5
,1800-593,271.1778,-59.597,2.5
,1808-643,273.3744,-64.5133,2.7
,1809-600,273.566,-60.0904,2.2
,1813-691,274.8004,-69.1717,3.8
,1814-424,274.4936,-42.7687,3.4
,1816-632,275.2533,-63.3857,3.1
,1819-430,275.7629,-43.1126,3.5
,1820-765,276.9486,-76.9408,3.7
,1822-624,276.7499,-62.7668,2.2
,1823-670,277.1686,-67.0184,4.9
,1829-413,278.2308,-41.4956,4.3
,1830-583,278.591,-58.4977,4.9
,1831-671,279.2192,-67.2585,3.1
,1839-525,280.9775,-52.851,2.9
,1840-622,281.2224,-62.3669,4.3
,1840-622,281.2749,-62.2967,4.3
,1842-814,283.2263,-81.6406,2.1
,1843-631,281.9317,-63.1919,2.5
,1843-651,282.227,-65.174,4.0
,1844-533,282.0312,-53.5377,2.7
,1847-523,282.8426,-52.5888,3.1
,1847-645,283.0994,-64.8348,2.9
,1848-631,283.2059,-63.2609,2.2
,1848-632,283.2605,-63.2856,2.2
,1852-542,284.1263,-54.3061,4.5
,1859-531,285.8956,-53.1744,2.8
,1902-653,286.815,-65.4606,4.9
,1902-653,286.8848,-65.4303,4.9
,1912-860,292.6274,-86.0162,2.7
,1918-555,290.7048,-55.7772,3.8
,1919-550,290.9151,-55.0679,2.9
,1920-635,291.3227,-63.8664,2.6
,1921-693,291.6018,-69.5288,4.0
,1921-534,291.357,-53.6142,4.0
,1926-672,292.8649,-67.3713,3.1
,1926-672,292.9133,-67.3261,3.1
,1931-773,294.6164,-77.5363,4.7
,1931-610,294.0032,-61.0292,3.4
,1932-774,295.0272,-77.5562,4.7
,1933-372,294.2268,-37.2926,3.7
,1933-422,294.2688,-42.2942,2.9
,1934-563,294.6665,-56.4544,3.4
,1941-552,296.3292,-55.3487,2.2
,1941-812,297.6817,-81.3256,3.1
,1941-502,296.3644,-50.3401,3.8
,1942-502,296.4679,-50.3029,3.8
,1950-585,298.5961,-58.714,4.5
,1952-603,299.1982,-60.4681,3.9
,1952-834,301.1007,-83.6938,4.7
,1954-553,299.5414,-55.4748,2.5
,1955-832,301.5776,-83.3382,2.4
,1957-471,300.247,-47.0683,2.7
,1958-561,300.6956,-56.0899,3.6
,1959-565,300.9739,-56.7055,2.1
,2001-543,301.4084,-54.3786,2.1
,2001-602,301.5547,-60.2131,2.7
,2002-563,301.7125,-56.389,2.5
,2004-611,302.2213,-61.1021,3.8
,2005-543,302.2638,-54.385,2.8
,2005-555,302.384,-55.6929,2.9
,2006-564,302.7126,-56.6766,4.9
,2010-371,303.3602,-37.1885,3.0
,2011-620,303.8688,-61.8603,3.6
,2013-470,304.1479,-46.9671,4.9
,2013-470,304.2094,-46.8752,4.9
,2013-525,304.3212,-52.7949,2.2
,2014-321,304.3733,-32.0594,4.0
,2016-392,304.9165,-39.2873,2.7
,2017-482,305.2019,-48.2413,2.9
,2018-481,305.4532,-48.0086,3.6
,2019-423,305.6074,-42.3879,3.4
,2019-423,305.6742,-42.4343,3.4
,2021-434,306.1155,-43.6542,4.9
,2021-724,306.6806,-72.6147,2.7
,2021-842,308.3261,-84.2045,4.9
,2022-545,306.5895,-54.7726,3.6
,2022-545,306.6728,-54.7989,3.6
,2023-325,306.6272,-32.7304,2.5
,2024-523,306.9364,-52.3861,3.1
,2024-471,306.9068,-47.0278,2.7
,2028-592,308.0754,-59.2435,4.5
,2028-310,307.9147,-30.832,3.1
,2028-422,308.0538,-42.195,2.1
,2029-422,308.1038,-42.2164,2.1
,2030-442,308.501,-44.2783,2.7
,2030-442,308.5676,-44.303,2.7
,2031-320,308.5862,-31.9795,4.0
,2032-433,308.8727,-43.4152,2.9
,2032-494,308.9932,-49.5965,3.6
,2034-521,309.5859,-52.1093,4.9
,2035-521,309.6899,-52.1406,4.9
,2035-411,309.7211,-41.1153,3.8
,2035-412,309.7631,-41.1834,3.8
,2036-510,310.052,-50.9575,2.2
,2036-734,310.5348,-73.6182,2.2
,2038-323,310.3105,-32.483,2.1
,2039-613,310.9022,-61.4079,3.1
,2039-533,310.8768,-53.3611,4.5
,2040-245,310.8178,-24.7144,3.1
,2040-264,310.9427,-26.5472,4.0
,2047-692,313.0261,-69.1988,4.9
,2048-485,313.038,-48.7782,2.2
,2050-441,313.5838,-44.0628,3.6
,2054-505,314.4651,-50.6698,2.7
,2055-541,314.7093,-54.1357,3.8
,2056-392,315.0327,-39.2994,4.9
,2058-413,315.4566,-41.4246,2.7
,2058-325,315.4512,-32.7895,2.2
,2102-395,316.5221,-39.6559,3.6
,2103-434,316.5911,-43.5074,4.0
,2105-332,317.029,-33.2409,3.7
,2106-230,317.3629,-22.878,2.1
,2107-461,317.7457,-46.0719,2.7
,2113-483,319.1316,-48.3674,2.7
,2116-851,321.8412,-85.0118,3.4
,2116-851,321.9155,-85.0082,3.4
,2116-395,320.0289,-39.7645,2.8
,2119-503,320.6572,-50.4443,3.4
,2119-365,320.6322,-36.6793,3.6
,2128-470,322.8934,-46.8908,2.7
,2128-430,322.9443,-42.8489,2.7
,2128-461,322.9671,-46.0572,2.5
,2128-461,323.0209,-46.0437,2.5
,2129-474,323.1462,-47.4851,2.1
,2130-425,323.5036,-42.6473,3.6
,2130-621,323.6652,-62.0637,4.5
,2130-430,323.5294,-42.7956,2.5
,2132-500,323.8388,-49.9364,2.7
,2133-830,325.2325,-82.799,3.4
,2134-562,324.4531,-56.228,3.6
,2134-481,324.456,-47.9463,2.2
,2134-520,324.5117,-51.8095,4.0
,2134-520,324.5615,-51.8127,4.0
,2135-520,324.6029,-51.8125,4.0
,2137-424,325.0516,-42.5412,3.4
,2137-483,325.0936,-48.3994,2.7
,2143-464,326.5715,-46.5187,4.9
,2143-835,327.9932,-83.7232,2.8
,2144-504,327.0154,-50.5642,3.6
,2146-452,327.3774,-45.1915,4.0
,2146-525,327.4778,-52.6863,2.2
,2146-593,327.5347,-59.3412,4.5
,2146-350,327.4425,-34.8746,3.1
,2147-502,327.6265,-50.1809,4.5
,2147-351,327.6048,-34.9475,3.6
,2148-554,328.0716,-55.5664,3.1
,2152-562,328.9333,-56.1075,2.2
,2154-371,329.2621,-36.9933,2.7
,2154-572,329.534,-57.141,2.9
,2156-393,329.8947,-39.3867,2.3
,2156-433,329.9244,-43.3066,2.7
,2157-432,330.1518,-43.1411,2.5
,2157-245,330.122,-24.6378,2.2
,2158-515,330.5216,-51.7452,2.7
,2159-224,330.4692,-22.4336,2.2
,2159-541,330.6574,-54.0766,2.2
,2159-513,330.6722,-51.2982,4.5
,2159-472,330.7111,-47.1981,3.1
,2201-575,331.1398,-57.6071,4.4
,2201-583,331.278,-58.2885,3.8
,2204-405,331.7973,-40.6538,2.3
,2206-280,332.2727,-27.8077,2.9
,2208-304,332.8047,-30.5681,2.7
,2211-670,333.7354,-66.8479,4.7
,2211-390,333.6751,-38.8046,4.0
,2212-460,333.9025,-45.8524,4.9
,2213-370,334.042,-36.8437,2.2
,2214-484,334.3088,-48.4749,2.7
,2214-355,334.437,-35.7296,4.5
,2215-595,334.6113,-59.641,4.9
,2217-801,335.748,-79.9991,3.1
,2217-245,335.1871,-24.6796,3.6
,2220-423,335.8919,-42.2782,2.7
,2223-635,336.6649,-63.7001,2.5
,2223-310,336.5333,-30.8719,2.5
,2223-345,336.5482,-34.7219,4.5
,2223-433,336.6342,-43.2751,3.1
,2224-431,336.8532,-43.0163,2.7
,2225-610,337.2179,-60.8807,2.7
,2226-613,337.581,-61.3183,2.7
,2227-613,337.6516,-61.3599,2.7
,2229-253,338.0329,-25.3991,3.8
,2230-645,338.5243,-64.6966,2.9
,2231-522,338.5576,-52.0815,2.4
,2231-522,338.6157,-52.1064,2.4
,2231-375,338.6001,-37.7297,4.5
,2232-373,338.8773,-37.3759,2.7
,2236-664,340.0936,-66.4722,4.9
,2238-450,340.4726,-44.7698,4.5
,2240-400,340.8189,-39.8709,3.4
,2243-341,341.6223,-34.0446,4.0
,2246-490,342.4186,-48.8517,2.2
,2252-425,343.951,-42.6529,3.1
,2254-373,344.2292,-37.3492,2.7
,2254-434,344.3055,-43.4057,3.6
,2254-364,344.2979,-36.4641,3.6
,2256-524,344.9668,-52.5065,2.5
,2258-353,345.2009,-35.3729,2.2
,2301-263,345.9377,-26.3436,2.7
,2301-472,346.0154,-47.1419,4.1
,2301-843,346.7357,-84.3847,2.6
,2301-500,346.151,-49.7467,2.5
,2303-843,347.1623,-84.3692,2.6
,2309-284,348.0315,-28.5396,4.5
,2309-235,348.0543,-23.6079,3.0
,2310-372,348.1855,-37.2144,2.2
,2310-222,348.2064,-22.1711,4.5
,2310-283,348.2515,-28.381,3.6
,2310-283,348.3055,-28.3577,4.0
,2310-685,348.4638,-68.6225,3.4
,2310-283,348.397,-28.3776,4.0
,2311-654,348.7269,-65.4056,2.2
,2312-653,348.7721,-65.3705,2.2
,2316-272,349.6839,-27.1313,2.2
,2316-225,349.7581,-22.7163,4.0
,2316-225,349.8162,-22.6546,4.0
,2316-294,349.8944,-29.5345,3.8
,2317-224,349.9241,-22.4628,2.7
,2318-420,350.2013,-41.7342,3.1
,2318-622,350.4155,-62.119,2.7
,2319-534,350.4805,-53.489,3.6
,2322-821,351.6227,-81.9132,2.2
,2325-621,352.0045,-61.9161,4.2
,2325-621,352.0749,-61.9878,4.2
,2325-832,352.3522,-83.0976,4.3
,2325-413,352.1715,-41.3344,3.6
,2326-535,352.2277,-53.6243,4.0
,2326-661,352.3331,-66.0509,2.7
,2326-790,352.4863,-78.7442,3.4
,2326-662,352.4156,-66.0875,2.7
,2328-790,353.0354,-78.7588,3.4
,2329-414,353.0637,-41.5054,2.7
,2329-790,353.2728,-78.8537,3.4
,2332-665,353.753,-66.68,4.9
,2333-381,354.0645,-37.9382,2.7
,2333-315,354.0678,-31.6015,4.5
,2334-782,354.3035,-78.1014,4.3
,2335-781,354.5834,-78.0179,4.3
,2335-782,354.629,-78.0879,4.3
,2335-254,354.5125,-25.3896,2.2
,2336-255,354.7538,-25.6712,2.7
,2336-521,354.8749,-52.0494,4.3
,2337-420,354.9642,-41.8744,2.7
,2337-230,354.9642,-22.7578,2.1
,2337-624,355.0527,-62.416,3.1
,2337-444,355.0991,-44.5127,4.5
,2337-624,355.1724,-62.4443,3.1
,2339-675,355.6055,-67.6775,4.9
,2341-321,355.9374,-31.9574,4.5
,2341-652,356.1309,-65.1006,4.1
,2341-651,356.172,-65.0289,4.1
,2345-572,356.9578,-57.067,3.4
,2346-380,357.3478,-37.7736,2.2
,2347-292,357.4319,-29.1069,2.9
,2347-684,357.6243,-68.4285,4.5
,2347-320,357.6114,-31.8485,2.2
,2348-284,357.6602,-28.4335,3.0
,2348-313,357.7899,-31.3385,4.3
,2348-344,357.8822,-34.4468,4.0
,2349-260,357.9297,-25.8518,4.0
,2349-260,358.0128,-25.8601,4.0
,2349-624,358.1157,-62.5117,2.9
,2350-800,358.3741,-79.815,4.5
,2353-400,359.0085,-39.7599,2.3
,2353-412,359.013,-41.1766,2.9
,2353-400,359.0334,-39.8016,2.3
,2353-815,359.0747,-81.5716,3.6
,2355-414,359.5109,-41.5282,4.5
,2358-535,0.204,-53.6765,3.1
